DATE,LIKE,HAHA,LOVE,WOW,CARE,ANGRY,SAD
2021-12-22,19580.0,1466.0,105.0,593.0,35.0,101.0,37.0
2021-12-23,19829.0,2933.0,78.0,190.0,49.0,94.0,13.0
2021-12-24,32333.0,3490.0,250.0,500.0,61.0,59.0,53.0
2021-12-25,12059.0,645.0,120.0,240.0,26.0,11.0,36.0
2021-12-26,13699.0,218.0,110.0,72.0,28.0,45.0,81.0
2021-12-27,14184.0,523.0,82.0,228.0,41.0,157.0,77.0
2021-12-28,37210.0,1895.0,172.0,220.0,547.0,483.0,111.0
2021-12-29,14595.0,1252.0,65.0,192.0,18.0,11.0,60.0
2021-12-30,22606.0,2276.0,174.0,898.0,62.0,164.0,169.0
2021-12-31,48618.0,996.0,385.0,272.0,75.0,22.0,24.0
2022-01-01,11081.0,916.0,59.0,661.0,16.0,28.0,31.0
2022-01-02,21711.0,678.0,121.0,157.0,56.0,26.0,13.0
2022-01-03,32542.0,1635.0,179.0,299.0,76.0,29.0,21.0
2022-01-04,46103.0,1862.0,348.0,288.0,82.0,17.0,36.0
2022-01-05,31964.0,1139.0,170.0,331.0,75.0,17.0,67.0
2022-01-06,21818.0,2995.0,127.0,1080.0,55.0,73.0,70.0
2022-01-07,32472.0,1368.0,202.0,269.0,67.0,20.0,28.0
